path	translation	split
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19216700.mp3	Do you have a pen?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19242995.mp3	What is the problem?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19967173.mp3	You talk like your Mom.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19235572.mp3	Mom is baking a cake for Dad.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19653471.mp3	I do not find any fault in his theory.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19721750.mp3	Will you travel to America next month?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19745679.mp3	She’s crying.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19947205.mp3	You drink too much coffee.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19204574.mp3	What’s the time?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19579952.mp3	Speaking English is a wonderful thing.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19706670.mp3	Your exam score is excellent.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19664756.mp3	I got very good news today.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19778911.mp3	Tom, my friend.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19219126.mp3	I went home.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19220070.mp3	My home is far away from here.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19837743.mp3	The tall man left the house.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19665822.mp3	Stay out.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19730011.mp3	Why do you ignore what I say?	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19664391.mp3	I am listening to the radio.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19664604.mp3	I see a lion.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19214249.mp3	I'm tired. I think I‘ll go to bed.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19214898.mp3	The cherry is red.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19226926.mp3	I wanted to go there.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19227038.mp3	I have a shower almost daily.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19629431.mp3	You don't have to go.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19629531.mp3	No words could express her deep agony.	test
../arabic_data/cv-corpus-7.0-2021-07-21/ar/clips/common_voice_ar_19247899.mp3	The baby can’t walk yet.	test
